@relation train

@attribute sent_num_word numeric
@attribute pos_cont_uni numeric
@attribute pos_prob_uni numeric
@attribute neg_count_uni numeric
@attribute neg_prob_uni numeric
@attribute neu_count_uni numeric
@attribute neu_prob_uni numeric
@attribute pos_cont_bi numeric
@attribute pos_prob_bi numeric
@attribute neg_count_bi numeric
@attribute neg_prob_bi numeric
@attribute neu_count_bi numeric
@attribute neu_prob_bi numeric
@attribute pos_cont_tri numeric
@attribute pos_prob_tri numeric
@attribute neg_count_tri numeric
@attribute neg_prob_tri numeric
@attribute neu_count_tri numeric
@attribute neu_prob_tri numeric
@attribute sen_char_meann numeric
@attribute nesbat numeric
@attribute jacard numeric
@attribute moshabeh numeric
@attribute gheir_moshabeh numeric
@attribute class {pos,neg,neu}

@data
8,8,6.986831,8,2.977059,7,1.03611,7,6.935401,2,1.05,1,0.014599,6,6,0,0,0,0,4.25,1.142857,0,5,6,pos
11,11,8.737184,9,2.532893,9,0.729924,10,9.467521,3,1.438923,2,0.093556,9,9,0,0,0,0,4.272727,1.375,0.055556,13,5,pos
10,10,8.180066,9,1.947935,9,1.872,9,8.298393,3,0.232645,5,0.468962,8,8,0,0,0,0,3,0.909091,0.166667,17,4,pos
14,14,11.954883,11,1.468645,10,1.576472,13,12.541403,3,0.845427,4,0.61317,12,12,0,0,0,0,4.285714,1.166667,0.142857,17,8,pos
5,5,2.405367,5,2.265302,4,0.329331,3,0.503409,4,3.130682,3,0.365909,2,0.257576,3,2.484848,2,0.257576,3.4,0,0,0,5,neg
6,6,5.134105,4,0.656286,3,0.209609,5,5,0,0,0,0,4,4,0,0,0,0,5,1.2,0,1,5,pos
16,16,12.273926,14,2.839184,12,2.886891,15,12.615253,7,1.970701,5,0.414046,14,13,2,1,0,0,4,2.285714,0.222222,10,8,pos
15,15,12.464329,14,2.608549,10,1.927122,14,12.923826,5,0.880194,3,0.19598,13,13,0,0,0,0,4.8,0.9375,0.115385,4,11,pos
8,8,5.907189,8,3.683782,5,0.409029,7,5.664706,3,1.068235,2,0.267059,6,5.6,1,0.4,0,0,3.375,0.533333,0,5,4,pos
15,15,12.179098,14,2.748905,12,1.071997,14,11.99231,7,1.361969,7,0.645722,13,12.941176,1,0.058824,0,0,3.733333,1.875,0,8,8,pos
18,18,14.349812,17,3.322495,15,1.327693,17,13.96239,13,2.838436,11,2.199174,16,13.78585,6,2.147483,3,1.066667,3.5,2,0.086957,11,10,pos
7,7,5.144877,7,2.119665,6,0.735459,6,5.685246,2,0.797814,2,0.51694,5,5,0,0,0,0,2.571429,1.75,0,0,7,pos
8,8,5.934748,8,2.322176,7,0.743076,5,3.439744,7,3.560256,0,0,2,1,6,5,0,0,4.75,1.6,0,2,6,neg
5,5,3.985525,5,0.772199,3,0.242276,4,2.766667,3,1.233333,0,0,3,2,2,1,0,0,4.6,2.5,0,5,1,pos
7,7,5.013996,7,1.438259,7,0.547746,6,4.767384,5,0.877416,4,0.3552,5,4.333333,2,0.666667,0,0,3.142857,1.4,0.333333,8,3,pos
4,4,3.188007,4,0.565971,3,0.246022,3,2.925926,1,0.074074,0,0,2,2,0,0,0,0,3.5,0.444444,0.3,10,0,pos
9,9,7.07931,7,1.390817,6,0.529873,8,7.25,1,0.5,1,0.25,7,7,0,0,0,0,4.555556,1,0,6,7,pos
4,4,3.496002,4,0.947122,4,0.556875,3,2.892857,2,1.107143,0,0,2,2,1,1,0,0,3.75,0.571429,0.1,1,3,pos
3,3,2.426259,3,0.443881,1,0.12986,2,1.826087,1,0.173913,0,0,1,1,0,0,0,0,4.333333,0.75,0,0,3,pos
8,8,5.500942,8,1.785002,7,0.714055,7,5.906629,5,0.946312,1,0.147059,6,5.388889,3,0.611111,0,0,3.5,1.142857,0,1,7,pos
10,10,7.344896,10,3.280477,9,1.374627,8,4.12525,9,4.091122,5,0.783628,4,1.846004,8,5.980716,3,0.17328,3.6,1.666667,0.142857,4,6,neg
6,6,4.685144,6,1.499344,6,0.815512,5,4.003103,4,0.855301,2,0.141596,4,3.681818,1,0.318182,0,0,3.666667,2,0,11,1,pos
3,3,2.149689,3,0.419833,3,0.430478,2,1.866667,0,0,2,0.133333,1,1,0,0,0,0,4.333333,0.272727,0.076923,4,2,pos
6,6,4.629902,6,0.891283,5,0.478815,5,3.13587,4,1.059783,3,0.804348,4,3.5,1,0.5,0,0,3.5,0,0,0,6,pos
7,7,5.112944,6,1.396781,6,0.490275,6,5.334837,2,0.530576,2,0.134586,5,4.619048,1,0.309524,1,0.071429,2.714286,0.875,0,1,6,pos
11,11,9.208269,10,4.128744,10,1.662988,10,8.760333,6,2.715489,5,0.524178,9,8.961538,1,0.75,2,0.288462,3,1.571429,0.125,5,7,pos
8,7,5.449943,8,3.160596,6,0.389461,4,3.296537,7,5.279221,2,0.424242,0,0,6,6,0,0,4,0.727273,0.055556,2,6,neg
9,9,7.082784,8,2.41728,7,0.499937,8,7.480226,2,0.451977,1,0.067797,7,7,0,0,0,0,4.333333,1.125,0.0625,4,7,pos
11,11,8.279344,11,3.407504,8,1.313152,5,3.752564,10,6.662821,3,0.584615,2,1.909091,9,8.090909,0,0,4,1.222222,0.055556,5,5,neg
14,14,10.785611,13,4.744993,11,1.469397,13,11.981629,6,0.587942,4,0.430428,12,11.8,2,0.7,1,0.5,4.285714,1.272727,0.142857,14,6,pos
12,12,9.677716,12,1.985941,12,1.336343,11,10.212418,6,1.828541,5,0.95904,10,9.047619,2,0.392857,3,0.559524,3.75,0.857143,0.04,8,8,pos
13,13,10.570211,13,4.195367,13,2.234421,11,8.26856,5,1.573215,12,4.158225,6,4.870083,1,0.086957,11,8.042961,3.461538,1.083333,0.086957,17,4,neu
10,10,8.065321,10,2.374765,8,0.559914,9,8.675439,5,3.324561,0,0,8,7.5,1,0.5,0,0,3.5,0.769231,0,7,6,pos
17,17,12.10521,17,4.42656,16,1.46823,14,9.059072,16,8.637515,9,3.303413,5,3.3,15,12.25,2,0.45,3.117647,1.7,0,22,6,neg
14,14,12.413364,13,3.962237,14,3.624398,13,12.197233,6,3.464286,8,1.338481,12,11.961538,0,0,1,0.038462,3.857143,1.4,0.222222,3,9,pos
4,4,2.780114,4,0.874792,4,0.345094,3,2.613354,2,0.23059,2,0.156056,2,2,0,0,0,0,3.75,0.285714,0.066667,5,2,pos
